date,group,home_team,away_team,home_score,away_score
2026-06-11,Group A,Mexico,South Africa,2.0,0.0
2026-06-11,Group A,South Korea,Czech Republic,2.0,1.0
2026-06-12,Group B,Canada,Bosnia and Herzegovina,1.0,1.0
2026-06-12,Group D,United States,Paraguay,4.0,1.0
2026-06-13,Group B,Qatar,Switzerland,1.0,1.0
2026-06-13,Group D,Australia,Turkey,2.0,0.0
2026-06-13,Group C,Brazil,Morocco,1.0,1.0
2026-06-13,Group C,Haiti,Scotland,0.0,1.0
2026-06-14,Group F,Sweden,Tunisia,5.0,1.0
2026-06-14,Group F,Netherlands,Japan,2.0,2.0
2026-06-14,Group E,Ivory Coast,Ecuador,1.0,0.0
2026-06-14,Group E,Germany,Curaçao,7.0,1.0
2026-06-15,Group H,Saudi Arabia,Uruguay,1.0,1.0
2026-06-15,Group H,Spain,Cape Verde,0.0,0.0
2026-06-15,Group G,Iran,New Zealand,2.0,2.0
2026-06-15,Group G,Belgium,Egypt,1.0,1.0
2026-06-16,Group I,Iraq,Norway,1.0,4.0
2026-06-16,Group J,Austria,Jordan,3.0,1.0
2026-06-16,Group I,France,Senegal,3.0,1.0
2026-06-16,Group J,Argentina,Algeria,3.0,0.0
2026-06-17,Group K,Portugal,DR Congo,1.0,1.0
2026-06-17,Group K,Uzbekistan,Colombia,1.0,3.0
2026-06-17,Group L,England,Croatia,4.0,2.0
2026-06-17,Group L,Ghana,Panama,1.0,0.0
2026-06-18,Group B,Canada,Qatar,6.0,0.0
2026-06-18,Group A,Czech Republic,South Africa,1.0,1.0
2026-06-18,Group A,Mexico,South Korea,1.0,0.0
2026-06-18,Group B,Switzerland,Bosnia and Herzegovina,4.0,1.0
2026-06-19,Group D,United States,Australia,2.0,0.0
2026-06-19,Group C,Scotland,Morocco,0.0,1.0
2026-06-19,Group D,Turkey,Paraguay,0.0,1.0
2026-06-19,Group C,Brazil,Haiti,3.0,0.0
2026-06-20,Group E,Ecuador,Curaçao,0.0,0.0
2026-06-20,Group E,Germany,Ivory Coast,2.0,1.0
2026-06-20,Group F,Netherlands,Sweden,5.0,1.0
2026-06-20,Group F,Tunisia,Japan,0.0,4.0
2026-06-21,Group G,Belgium,Iran,0.0,0.0
2026-06-21,Group G,New Zealand,Egypt,1.0,3.0
2026-06-21,Group H,Spain,Saudi Arabia,4.0,0.0
2026-06-21,Group H,Uruguay,Cape Verde,2.0,2.0
2026-06-22,Group I,Norway,Senegal,3.0,2.0
2026-06-22,Group I,France,Iraq,3.0,0.0
2026-06-22,Group J,Argentina,Austria,2.0,0.0
2026-06-22,Group J,Jordan,Algeria,1.0,2.0
2026-06-23,Group K,Colombia,DR Congo,1.0,0.0
2026-06-23,Group L,Panama,Croatia,0.0,1.0
2026-06-23,Group L,England,Ghana,0.0,0.0
2026-06-23,Group K,Portugal,Uzbekistan,5.0,0.0
2026-06-24,Group B,Switzerland,Canada,2.0,1.0
2026-06-24,Group C,Scotland,Brazil,0.0,3.0
2026-06-24,Group B,Bosnia and Herzegovina,Qatar,3.0,1.0
2026-06-24,Group C,Morocco,Haiti,4.0,2.0
2026-06-24,Group A,South Africa,South Korea,1.0,0.0
2026-06-24,Group A,Czech Republic,Mexico,0.0,3.0
2026-06-25,Group F,Tunisia,Netherlands,1.0,3.0
2026-06-25,Group F,Japan,Sweden,1.0,1.0
2026-06-25,Group D,Turkey,United States,3.0,2.0
2026-06-25,Group D,Paraguay,Australia,0.0,0.0
2026-06-25,Group E,Curaçao,Ivory Coast,0.0,2.0
2026-06-25,Group E,Ecuador,Germany,2.0,1.0
2026-06-26,Group I,Senegal,Iraq,2.0,0.0
2026-06-26,Group I,Norway,France,1.0,2.0
2026-06-26,Group G,New Zealand,Belgium,0.0,2.0
2026-06-26,Group H,Cape Verde,Saudi Arabia,1.0,2.0
2026-06-26,Group H,Uruguay,Spain,1.0,2.0
2026-06-26,Group G,Egypt,Iran,1.0,1.0
2026-06-27,Group L,Panama,England,0.0,3.0
2026-06-27,Group K,Colombia,Portugal,1.0,2.0
2026-06-27,Group K,DR Congo,Uzbekistan,1.0,1.0
2026-06-27,Group J,Jordan,Argentina,0.0,3.0
2026-06-27,Group J,Algeria,Austria,1.0,1.0
2026-06-27,Group L,Croatia,Ghana,2.0,1.0
